chapter,word_paragraph_index,style_name,old_text_preview,new_text_preview,change_type
第四章 系统实现,116,Normal,用户认证模块是系统全部业务流程的入口，也是简历、会话与历史记录能够实现按用户隔离管理的前提。系统在基础设施层首先实现统一返回体 Result<T>、业务异常类 BusinessEx...,用户认证模块是系统全部业务流程的入口，也是简历、会话与历史记录能够实现按用户隔离管理的前提。系统在基础设施层先实现统一返回体 Result<T>、业务异常类 BusinessExc...,body
第四章 系统实现,117,Normal,为保证业务数据只在当前登录用户范围内可见，后端通过 JwtInterceptor 对受保护接口进行统一拦截，并将解析出的用户标识写入 UserContext 以供业务层读取。该设计...,为保证业务数据只在当前登录用户范围内可见，后端通过 JwtInterceptor 对受保护接口进行统一拦截，并将解析出的用户标识写入 UserContext 以供业务层读取。该设计...,body
第四章 系统实现,118,Normal,除认证功能外，系统基础设施还包含全局跨域配置与线程池配置。前者用于解决前端开发服务器和后端接口服务分属不同端口时的浏览器跨域访问问题；后者则为后续的 SSE 流式接口提供异步执行能...,除认证功能外，系统基础设施还包含全局跨域配置、线程池配置和用户级模型配置管理。跨域配置用于解决前端开发服务器和后端接口服务分属不同端口时的浏览器跨域访问问题；线程池配置为后续 SS...,body
第四章 系统实现,126,Normal,面试会话模块的核心任务是把用户身份、简历信息和岗位模板组织成一个可持续扩展的对话上下文，为后续多轮面试交互提供统一入口。系统预先在 position_template 表中存储多个...,面试会话模块的核心任务是把用户身份、简历信息和岗位模板组织成一个可持续扩展的对话上下文，为后续多轮面试交互提供统一入口。系统预先在 position_template 表中存储多个...,body
第四章 系统实现,127,Normal,在创建主会话记录后，系统继续读取对应岗位模板中的 system_prompt，并将其写入 interview_message 表作为当前会话的第一条消息，role 设为 syste...,创建主会话记录后，系统继续读取对应岗位模板中的 system_prompt，并将其写入 interview_message 表作为当前会话的第一条消息，role 设为 system...,body
第四章 系统实现,128,Normal,该模块还承担历史面试记录管理的作用。用户可以查询自己曾经发起的面试会话列表，查看不同岗位、不同简历对应的历史记录和报告结果。由于会话主表保存了目标岗位名称、状态和总结报告，因此历史...,该模块还承担历史面试记录管理的作用。用户可以查询自己曾经发起的面试会话列表，查看不同岗位、不同简历对应的历史记录和报告结果。由于会话主表保存了目标岗位名称、状态和总结报告，历史记录...,body
第四章 系统实现,130,Normal,沉浸式流式模拟面试模块是本系统实现层的核心部分，其主要目标是在用户完成简历上传和岗位选择后，提供接近真实面试节奏的多轮动态交互体验。该模块的实现起点是用户在面试页面输入当前轮次回答...,沉浸式流式模拟面试模块是本系统实现层的核心部分，其主要目标是在用户完成简历上传和岗位选择后，提供接近真实面试节奏的多轮动态交互体验。该模块的实现起点是用户在面试页面输入当前轮次回答...,body
第四章 系统实现,131,Normal,在保存用户消息后，后端按 seq_num 升序读取当前会话全部历史消息，并构造发送给大语言模型的 messages 数组。考虑到无限制传递全部对话会导致 Token 消耗持续增加，...,保存用户消息后，后端按 seq_num 升序读取当前会话全部历史消息，并构造发送给大语言模型的 messages 数组。考虑到无限制传递全部对话会导致 Token 消耗持续增加，同...,body
第四章 系统实现,132,Normal,相关研究进一步指出，多轮对话中的早期假设固化、错误上下文累积和上下文压力可能导致模型表现下降。因此，本系统当前采用的固定窗口策略属于基础级控制方案，能够限制上下文规模，但仍不能完全...,相关研究进一步指出，多轮对话中的早期假设固化、错误上下文累积和上下文压力，可能导致模型表现下降。因此，本系统当前采用的固定窗口策略属于基础级控制方案，能够限制上下文规模，但仍不能完...,body
第四章 系统实现,133,Normal,完成消息拼装后，后端通过 DeepSeek 的流式接口发起请求，并借助 SseEmitter 将模型生成内容逐段推送给前端。为了避免长时间流式处理阻塞 Tomcat 主线程，整个调...,完成消息拼装后，后端通过 DeepSeek 的流式接口发起请求，并借助 SseEmitter 将模型生成内容逐段推送给前端。为了避免长时间流式处理阻塞 Tomcat 主线程，整个调...,body
第四章 系统实现,134,Normal,在流式结束后，后端还需把本轮完整的模型回复重新拼接为完整字符串，并作为一条 assistant 消息写入 interview_message 表，使数据库中的会话历史保持完整闭环。...,流式结束后，后端还需把本轮完整的模型回复重新拼接为完整字符串，并作为一条 assistant 消息写入 interview_message 表，使数据库中的会话历史保持完整闭环。由...,body
第四章 系统实现,136,Normal,评估报告生成模块承担对整场模拟面试过程进行总结与反馈的作用，是系统实现闭环中的最后一环。当用户在前端点击“结束面试”后，后端首先校验目标会话是否属于当前用户且仍处于进行中状态，以防...,评估报告生成模块承担对整场模拟面试过程进行总结与反馈的作用，是系统实现闭环中的最后一环。当用户在前端点击“结束面试”后，后端校验目标会话是否属于当前用户且仍处于进行中状态，以防止重...,body
第四章 系统实现,138,Normal,从实现效果看，该模块将原本分散在多轮交互中的内容重新压缩为可复盘、可阅读的结果摘要，使模拟面试不再停留于即时问答，而能够真正形成训练闭环。其局限在于，报告质量仍然依赖外部大语言模型...,从实现效果看，该模块将原本分散在多轮交互中的内容重新压缩为可复盘、可阅读的结果摘要，使模拟面试不再停留于即时问答，而能够形成训练闭环。其局限在于，报告质量仍然依赖外部大语言模型的稳...,body
第四章 系统实现,140,Normal,为便于后续终稿整理和答辩追问，本章已同步整理三组核心实现证据。第一组为流式问答推送实现，主要对应 InterviewServiceImpl.chat、streamAssistant...,为便于后续终稿整理和答辩追问，本章已同步整理三组核心实现证据：流式问答推送实现主要对应 InterviewServiceImpl.chat、streamAssistantReply...,body
第四章 系统实现,141,Normal,本章从实现层面对系统的主要模块进行了说明。首先，系统通过统一异常处理、JWT 鉴权、跨域与线程池配置搭建基础设施；其次，借助 PDF 文本提取与大语言模型结构化分析实现简历解析；再...,本章从实现层面对系统主要模块进行了说明。系统通过统一异常处理、JWT 鉴权、跨域、线程池配置和用户级模型配置管理搭建基础设施；借助 PDF 文本提取、大语言模型结构化分析和输入长度...,body
第五章 系统测试,145,Normal,系统测试的目的在于验证本系统在既定业务场景下的功能完整性、交互稳定性与基本可用性，并为后续论文结论与系统评价提供依据。由于本系统核心能力依赖外部大语言模型服务，模型生成内容本身具有...,系统测试的目的在于验证本系统在既定业务场景下的功能完整性、交互稳定性与基本可用性，并为后续论文结论与系统评价提供依据。由于本系统核心能力依赖外部大语言模型服务，模型生成内容本身具有...,body
第五章 系统测试,160,Normal,本系统的性能测试不以大规模压测为目标，而是聚焦于真实使用场景下最关键的体验指标。对于模拟面试系统而言，用户对性能的直接感知主要集中在两个方面：一是提交回答后多久能够看到模型开始返回...,本系统的性能测试不以大规模压测为目标，而是聚焦真实使用场景下最关键的体验指标。对于模拟面试系统而言，用户对性能的直接感知主要来自提交回答后的首段返回时间，以及上传简历后的文本提取与...,body
第五章 系统测试,165,Normal,从当前系统实现和测试结果可见，本系统能够围绕用户登录、简历解析、会话创建、流式对话与评估报告生成构建完整的业务闭环。TC-01 至 TC-09 覆盖了正常流程、文件类型校验、权限校...,从当前系统实现和测试结果可见，本系统能够围绕用户登录、简历解析、会话创建、流式对话与评估报告生成构建完整业务闭环。TC-01 至 TC-09 覆盖正常流程、文件类型校验、权限校验、...,body
第五章 系统测试,166,Normal,同时，也应客观指出本系统的性能与稳定性在一定程度上受制于第三方大语言模型服务。例如，流式接口的首字节响应时间可能会受到网络环境、模型服务负载和上下文长度变化影响而产生波动；简历解析...,同时，也应客观指出，本系统的性能与稳定性在一定程度上受制于第三方大语言模型服务。例如，流式接口的首字节响应时间可能会受到网络环境、模型服务负载和上下文长度变化影响而产生波动；简历解...,body
