chapter,section,word_body_index,style_name,old_text_preview,new_text_preview,change_type
第二章 相关技术综述,2.1 大语言模型技术概述,61,,本系统选用 DeepSeek API 作为外部大语言模型服务，主要基于三方面考虑。其一，DeepSeek 提供与 OpenAI 协议兼容的聊天接口，便于后端直接采用标准化的 mes...,本系统选用 DeepSeek API 作为外部大语言模型服务，主要考虑接口兼容、流式输出和项目适配性。DeepSeek 提供与 OpenAI 协议兼容的聊天接口，后端可直接采用标准...,body
第二章 相关技术综述,2.2 Server-Sent Events 技术,66,,Server-Sent Events（SSE）是一种基于 HTTP 协议的单向流式推送技术，适用于服务器持续向浏览器发送文本事件的场景。与传统轮询方式相比，SSE 通过保持长连接避...,Server-Sent Events（SSE）是一种基于 HTTP 协议的单向流式推送技术，适用于服务器持续向浏览器发送文本事件的场景。与传统轮询方式相比，SSE 通过保持长连接避...,body
第二章 相关技术综述,2.2 Server-Sent Events 技术,66,,需要说明的是，浏览器原生的 EventSource 虽然是 SSE 的常见实现方式，但其仅支持 GET 请求，无法在请求体中直接携带用户回答内容、会话标识和其他必要参数。而本系统的...,需要说明的是，浏览器原生 EventSource 虽然是 SSE 的常见实现方式，但其仅支持 GET 请求，无法在请求体中直接携带用户回答内容、会话标识和其他必要参数。本系统的面试...,body
第二章 相关技术综述,2.2 Server-Sent Events 技术,66,,从 Web 实现机制看，SSE 适用于服务器持续向浏览器发送文本事件的场景。本文系统的模拟面试流程中，用户提交回答后，模型生成内容需要逐段返回并实时展示，通信方向主要表现为服务端向...,,delete_body
第二章 相关技术综述,2.3 Vue 3 Composition API,70,,Vue 3 在框架层面引入了 Composition API，为复杂前端状态管理与逻辑复用提供了新的组织方式。与传统 Options API 按照 data、methods、com...,Vue 3 在框架层面引入 Composition API，为复杂前端状态管理与逻辑复用提供了新的组织方式。与传统 Options API 按照 data、methods、comp...,body
第二章 相关技术综述,2.3 Vue 3 Composition API,70,,本系统前端采用 Vue 3.5 与 TypeScript 6 组合实现，其中模拟面试页面涉及较为复杂的流式状态控制逻辑。例如，在用户发起一次面试问答请求后，前端需要维护连接建立、流...,本系统前端采用 Vue 3.5 与 TypeScript 6 组合实现，其中模拟面试页面涉及较为复杂的流式状态控制逻辑。用户发起一次面试问答请求后，前端需要维护连接建立、流式接收、...,body
第二章 相关技术综述,2.3 Vue 3 Composition API,70,,基于此，本系统采用 Composition API，并进一步将流式请求逻辑抽离为 useInterviewStream 之类的组合式函数，以便把“状态定义—请求发起—事件解析—错误...,基于此，本系统采用 Composition API，并将流式请求逻辑抽离为 useInterviewStream 之类的组合式函数，以便把“状态定义—请求发起—事件解析—错误恢复”...,body
第二章 相关技术综述,2.4 Spring Boot 3 异步编程模型,74,,Spring Boot 3 在后端应用开发中提供了较为完善的异步编程支持，能够配合线程池组件对耗时任务进行统一调度与管理。在基于 Servlet 容器的 Web 应用中，请求默认由...,Spring Boot 3 在后端应用开发中提供了较为完善的异步编程支持，能够配合线程池组件对耗时任务进行统一调度与管理。在基于 Servlet 容器的 Web 应用中，请求默认由...,body
第二章 相关技术综述,2.4 Spring Boot 3 异步编程模型,74,,本系统的流式面试问答接口需要完成如下链路：接收用户回答、查询历史消息、调用外部大语言模型流式接口、逐段解析模型返回内容、通过 SseEmitter 向前端持续推送、最后再将完整回复...,本系统的流式面试问答接口需要完成如下链路：接收用户回答、查询历史消息、调用外部大语言模型流式接口、逐段解析模型返回内容、通过 SseEmitter 向前端持续推送，最后再将完整回复...,body
第二章 相关技术综述,2.4 Spring Boot 3 异步编程模型,74,,因此，本系统基于 Spring Boot 3.2 配置 ThreadPoolTaskExecutor 作为 SSE 任务执行线程池，并将流式面试处理逻辑放入异步线程中执行。这样做的...,因此，本系统基于 Spring Boot 3.2 配置 ThreadPoolTaskExecutor 作为 SSE 任务执行线程池，并将流式面试处理逻辑放入异步线程中执行。Spri...,body
第二章 相关技术综述,2.4 Spring Boot 3 异步编程模型,74,,Spring MVC 对 Servlet 异步请求处理提供了较完整的支持，控制器可以通过 SseEmitter 向浏览器持续发送符合 SSE 规范的事件数据。官方文档也指出，在流式...,,delete_body
第二章 相关技术综述,2.5 Apache PDFBox 3.0,78,,Apache PDFBox 是一个常用的 Java 开源 PDF 处理库，能够实现 PDF 文本提取、页面解析、文档创建与编辑等功能。在文本提取场景中，PDFBox 通过对 PDF...,Apache PDFBox 是常用的 Java 开源 PDF 处理库，能够实现 PDF 文本提取、页面解析、文档创建与编辑等功能。在文本提取场景中，PDFBox 通过解析 PDF ...,body
第二章 相关技术综述,2.5 Apache PDFBox 3.0,78,,本系统在简历上传模块中需要先从 PDF 简历中提取可供后续大语言模型处理的原始文本，因此文本提取质量会直接影响后续技能识别、项目抽取与结构化输出效果。为改善中文排版提取时的顺序混乱...,本系统在简历上传模块中，需要先从 PDF 简历中提取可供后续大语言模型处理的原始文本，因此文本提取质量会直接影响技能识别、项目抽取与结构化输出效果。为改善中文排版提取时的顺序混乱问...,body
第二章 相关技术综述,2.5 Apache PDFBox 3.0,78,,PDFBox 官方 API 说明中，PDFTextStripper 用于将 PDF 页面内容提取为文本，并可通过位置排序方式改善文本输出顺序。由于简历文档常包含分栏、表格和模块化排...,本系统选用 PDFBox 3.0 而非 iText，主要基于开源授权、实现成本与项目适配性。PDFBox 由 Apache 基金会维护，采用较为宽松的开源协议，适合教学和学术项目使...,body
第二章 相关技术综述,2.5 Apache PDFBox 3.0,78,,本系统选用 PDFBox 3.0 而非 iText，主要基于开源授权、实现成本与项目适配性三方面考虑。首先，PDFBox 由 Apache 基金会维护，采用较为宽松的开源协议，更适...,,delete_body
第三章 系统分析与设计,3.1 功能性需求分析,83,,在用户注册与登录用例中，参与者为系统用户。其前置条件为用户尚未登录系统，且注册场景下用户名未被占用。基本流程如下：首先，用户在登录页选择注册或登录操作并填写必要信息；其次，系统对输...,在用户注册与登录用例中，参与者为系统用户。其前置条件为用户尚未登录系统，且注册场景下用户名未被占用。基本流程为：用户在登录页选择注册或登录操作并填写必要信息；系统对输入内容进行合法...,body
第三章 系统分析与设计,3.1 功能性需求分析,83,,在简历上传与 AI 诊断用例中，参与者为已登录用户。其前置条件为用户已通过身份认证，且待上传文件满足 PDF 格式与大小限制。基本流程如下：首先，用户在简历页面上传 PDF 文件；...,在简历上传与 AI 诊断用例中，参与者为已登录用户。其前置条件为用户已通过身份认证，且待上传文件满足 PDF 格式与大小限制。用户在简历页面上传 PDF 文件后，系统先对文件类型和...,body
第三章 系统分析与设计,3.1 功能性需求分析,83,,在发起模拟面试用例中，参与者为已登录且已上传简历的用户。其前置条件为用户已选择可用简历，系统已预置岗位模板。基本流程如下：首先，用户在页面中点击“开始面试”并选择目标岗位；其次，系...,在发起模拟面试用例中，参与者为已登录且已上传简历的用户。其前置条件为用户已选择可用简历，系统已预置岗位模板。用户在页面中点击“开始面试”并选择目标岗位后，系统创建新的面试会话主记录...,body
第三章 系统分析与设计,3.1 功能性需求分析,83,,在进行多轮对话面试用例中，参与者仍为已登录用户。其前置条件为目标会话存在且处于进行中状态。基本流程如下：首先，用户在面试页面输入或提交当前轮次回答；其次，系统将用户消息写入数据库，...,在进行多轮对话面试用例中，参与者仍为已登录用户。其前置条件为目标会话存在且处于进行中状态。用户在面试页面输入或提交当前轮次回答后，系统将用户消息写入数据库，并按顺序查询当前会话历史...,body
第三章 系统分析与设计,3.1 功能性需求分析,83,,在查看 AI 生成评估报告用例中，参与者为完成面试的用户。其前置条件为面试会话处于进行中或刚完成最后一轮问答，系统能够访问该会话的完整历史记录。基本流程如下：首先，用户点击“结束面...,在查看 AI 生成评估报告用例中，参与者为完成面试的用户。其前置条件为面试会话处于进行中状态，或刚完成最后一轮问答，且系统能够访问该会话的完整历史记录。用户点击“结束面试”后，系统...,body
第三章 系统分析与设计,3.2 非功能性需求分析,93,,除功能完整性外，本系统还需要满足一定的非功能性要求。首先，在响应时延方面，系统采用流式输出机制，以缩短用户从提交回答到看到首段模型回复之间的等待时间。结合当前系统定位，SSE 首字...,除功能完整性外，本系统还需要满足一定的非功能性要求。在响应时延方面，系统采用流式输出机制，以缩短用户从提交回答到看到首段模型回复之间的等待时间。结合当前系统定位，SSE 首字节响应...,body
第三章 系统分析与设计,3.2 非功能性需求分析,93,,其次，在数据安全方面，系统需避免将第三方模型服务密钥暴露给前端或提交到代码仓库，因此 DeepSeek API Key 仅保存在后端本地配置文件中，并通过后端代理方式发起模型调用。...,在数据安全方面，系统需避免将第三方模型服务密钥暴露给前端或提交到代码仓库。因此，DeepSeek API Key 仅保存在后端本地配置文件中，并通过后端代理方式发起模型调用。与此同...,body
第三章 系统分析与设计,3.2 非功能性需求分析,93,,最后，在可用性方面，系统依赖外部大语言模型服务，因此需要考虑第三方接口超时、断流或异常返回的情况。为此，系统在前后端都应设计相应的异常处理与降级提示机制，例如在流式中断时向用户提示...,在可用性方面，系统依赖外部大语言模型服务，需要考虑第三方接口超时、断流或异常返回等情况。为此，系统在前后端均应设计相应的异常处理与降级提示机制，例如在流式中断时向用户提示连接异常，...,body
第三章 系统分析与设计,3.3 数据库设计说明,97,,interview_message 表是支撑多轮对话组织的关键表。该表中的 role 字段用于区分消息来源，分别标记为 system、user 与 assistant。其中，sys...,interview_message 表是支撑多轮对话组织的关键表。该表中的 role 字段用于区分消息来源，分别标记为 system、user 与 assistant。其中，sys...,body
第三章 系统分析与设计,3.4 系统架构说明,103,,从总体架构看，本系统由浏览器客户端、Spring Boot 服务层、MySQL 数据库和 DeepSeek/OpenAI 兼容模型服务四个层次组成，整体架构如图 3.3 所示。浏览...,从总体架构看，本系统由浏览器客户端、Spring Boot 服务层、MySQL 数据库和 DeepSeek/OpenAI 兼容模型服务四个层次组成，整体架构如图 3.3 所示。浏览...,body
第三章 系统分析与设计,3.4 系统架构说明,103,,系统内部主要存在两条通信通路。第一条是普通 REST 通路，用于完成注册登录、简历上传、岗位列表查询、会话创建、历史记录查询和报告获取等请求，该类请求通常遵循“客户端发起—服务端处...,系统内部主要存在两条通信通路。第一条是普通 REST 通路，用于完成注册登录、简历上传、岗位列表查询、会话创建、历史记录查询和报告获取等请求。该类请求通常遵循“客户端发起—服务端处...,body
第四章 系统实现,4.1 系统实现总体说明,110,,从实现顺序看，系统遵循“基础设施—用户认证—简历解析—面试会话—流式对话—报告生成”的渐进式开发路径。这样安排的主要原因在于，后续功能都依赖统一返回体、异常处理、登录鉴权与基础数据...,从实现顺序看，系统遵循“基础设施—用户认证—简历解析—面试会话—流式对话—报告生成”的渐进式开发路径。这样安排是因为后续功能都依赖统一返回体、异常处理、登录鉴权与基础数据表结构，而...,body
第四章 系统实现,4.1 系统实现总体说明,110,,本章主要围绕五个实现模块展开说明，即用户认证模块、简历解析模块、面试会话模块、沉浸式流式模拟面试模块以及评估报告生成模块。其中，前四类模块共同构成系统的交互链路，评估报告模块则承担...,本章主要围绕五个实现模块展开说明，即用户认证模块、简历解析模块、面试会话模块、沉浸式流式模拟面试模块以及评估报告生成模块。其中，前四类模块共同构成系统交互链路，评估报告模块则承担对...,body
第四章 系统实现,4.2 用户认证与基础设施实现,114,,用户认证模块是系统全部业务流程的入口，也是简历、会话与历史记录能够实现按用户隔离管理的前提。系统在基础设施层首先实现统一返回体 Result<T>、业务异常类 BusinessEx...,用户认证模块是系统全部业务流程的入口，也是简历、会话与历史记录能够实现按用户隔离管理的前提。系统在基础设施层先实现统一返回体 Result<T>、业务异常类 BusinessExc...,body
第四章 系统实现,4.2 用户认证与基础设施实现,114,,为保证业务数据只在当前登录用户范围内可见，后端通过 JwtInterceptor 对受保护接口进行统一拦截，并将解析出的用户标识写入 UserContext 以供业务层读取。该设计...,为保证业务数据只在当前登录用户范围内可见，后端通过 JwtInterceptor 对受保护接口进行统一拦截，并将解析出的用户标识写入 UserContext 以供业务层读取。该设计...,body
第四章 系统实现,4.2 用户认证与基础设施实现,114,,除认证功能外，系统基础设施还包含全局跨域配置与线程池配置。前者用于解决前端开发服务器和后端接口服务分属不同端口时的浏览器跨域访问问题；后者则为后续的 SSE 流式接口提供异步执行能...,除认证功能外，系统基础设施还包含全局跨域配置、线程池配置和用户级模型配置管理。跨域配置用于解决前端开发服务器和后端接口服务分属不同端口时的浏览器跨域访问问题；线程池配置为后续 SS...,body
第四章 系统实现,4.3 简历解析模块实现,118,,简历解析模块在整个系统中承担“把原始 PDF 文档转化为后续面试可用结构化上下文”的作用，是模拟面试能够体现个性化的重要前提。系统实现时，用户首先通过前端上传 PDF 格式简历，后...,简历解析模块在整个系统中承担“把原始 PDF 文档转化为后续面试可用结构化上下文”的作用，是模拟面试体现个性化的重要前提。系统实现时，用户通过前端上传 PDF 格式简历，后端接收到...,body
第四章 系统实现,4.3 简历解析模块实现,118,,在文件校验通过后，后端使用 Apache PDFBox 读取 PDF 内容，并通过 PDFTextStripper 提取文本。考虑到中文简历在排版上常常包含多段落、表格、分栏或位置...,文件校验通过后，后端使用 Apache PDFBox 读取 PDF 内容，并通过 PDFTextStripper 提取文本。考虑到中文简历在排版上常包含多段落、表格、分栏或位置不规...,body
第四章 系统实现,4.3 简历解析模块实现,118,,随后，后端围绕系统需求组织结构化提示词，将简历原文提交给外部大语言模型，请求其返回严格的 JSON 结构，包括技能列表和项目经历等字段。为了降低模型输出不规范导致解析失败的风险，系...,随后，后端围绕系统需求组织结构化提示词，将简历原文提交给外部大语言模型，请求其返回严格的 JSON 结构，包括技能列表和项目经历等字段。为了降低模型输出不规范导致解析失败的风险，系...,body
第四章 系统实现,4.3 简历解析模块实现,118,,从数据流转角度看，该模块的输入是用户上传的 PDF 文件，处理过程包括文件校验、文本提取、模型结构化分析和结果反序列化，输出结果则包括用户可见的技能与项目展示，以及数据库中可复用的...,为避免超长简历文本直接进入模型上下文导致响应失败，系统在保存完整 PDF 提取文本的基础上，对发送给模型的结构化解析输入进行了长度保护。具体而言，数据库仍保存完整 raw_text...,body
第四章 系统实现,4.3 简历解析模块实现,124,,,从数据流转角度看，该模块的输入是用户上传的 PDF 文件，处理过程包括文件校验、文本提取、模型结构化分析和结果反序列化，输出结果则包括用户可见的技能与项目展示，以及数据库中可复用的...,insert_body
第四章 系统实现,4.4 面试会话模块实现,125,,面试会话模块的核心任务是把用户身份、简历信息和岗位模板组织成一个可持续扩展的对话上下文，为后续多轮面试交互提供统一入口。系统预先在 position_template 表中存储多个...,面试会话模块的核心任务是把用户身份、简历信息和岗位模板组织成一个可持续扩展的对话上下文，为后续多轮面试交互提供统一入口。系统预先在 position_template 表中存储多个...,body
第四章 系统实现,4.4 面试会话模块实现,125,,在创建主会话记录后，系统继续读取对应岗位模板中的 system_prompt，并将其写入 interview_message 表作为当前会话的第一条消息，role 设为 syste...,创建主会话记录后，系统继续读取对应岗位模板中的 system_prompt，并将其写入 interview_message 表作为当前会话的第一条消息，role 设为 system...,body
第四章 系统实现,4.4 面试会话模块实现,125,,该模块还承担历史面试记录管理的作用。用户可以查询自己曾经发起的面试会话列表，查看不同岗位、不同简历对应的历史记录和报告结果。由于会话主表保存了目标岗位名称、状态和总结报告，因此历史...,该模块还承担历史面试记录管理的作用。用户可以查询自己曾经发起的面试会话列表，查看不同岗位、不同简历对应的历史记录和报告结果。由于会话主表保存了目标岗位名称、状态和总结报告，历史记录...,body
第四章 系统实现,4.5 沉浸式流式模拟面试模块实现,129,,沉浸式流式模拟面试模块是本系统实现层的核心部分，其主要目标是在用户完成简历上传和岗位选择后，提供接近真实面试节奏的多轮动态交互体验。该模块的实现起点是用户在面试页面输入当前轮次回答...,沉浸式流式模拟面试模块是本系统实现层的核心部分，其主要目标是在用户完成简历上传和岗位选择后，提供接近真实面试节奏的多轮动态交互体验。该模块的实现起点是用户在面试页面输入当前轮次回答...,body
第四章 系统实现,4.5 沉浸式流式模拟面试模块实现,129,,在保存用户消息后，后端按 seq_num 升序读取当前会话全部历史消息，并构造发送给大语言模型的 messages 数组。考虑到无限制传递全部对话会导致 Token 消耗持续增加，...,保存用户消息后，后端按 seq_num 升序读取当前会话全部历史消息，并构造发送给大语言模型的 messages 数组。考虑到无限制传递全部对话会导致 Token 消耗持续增加，同...,body
第四章 系统实现,4.5 沉浸式流式模拟面试模块实现,129,,相关研究进一步指出，多轮对话中的早期假设固化、错误上下文累积和上下文压力可能导致模型表现下降。因此，本系统当前采用的固定窗口策略属于基础级控制方案，能够限制上下文规模，但仍不能完全...,相关研究进一步指出，多轮对话中的早期假设固化、错误上下文累积和上下文压力，可能导致模型表现下降。因此，本系统当前采用的固定窗口策略属于基础级控制方案，能够限制上下文规模，但仍不能完...,body
第四章 系统实现,4.5 沉浸式流式模拟面试模块实现,129,,完成消息拼装后，后端通过 DeepSeek 的流式接口发起请求，并借助 SseEmitter 将模型生成内容逐段推送给前端。为了避免长时间流式处理阻塞 Tomcat 主线程，整个调...,完成消息拼装后，后端通过 DeepSeek 的流式接口发起请求，并借助 SseEmitter 将模型生成内容逐段推送给前端。为了避免长时间流式处理阻塞 Tomcat 主线程，整个调...,body
第四章 系统实现,4.5 沉浸式流式模拟面试模块实现,129,,在流式结束后，后端还需把本轮完整的模型回复重新拼接为完整字符串，并作为一条 assistant 消息写入 interview_message 表，使数据库中的会话历史保持完整闭环。...,流式结束后，后端还需把本轮完整的模型回复重新拼接为完整字符串，并作为一条 assistant 消息写入 interview_message 表，使数据库中的会话历史保持完整闭环。由...,body
第四章 系统实现,4.6 评估报告生成模块实现,135,,评估报告生成模块承担对整场模拟面试过程进行总结与反馈的作用，是系统实现闭环中的最后一环。当用户在前端点击“结束面试”后，后端首先校验目标会话是否属于当前用户且仍处于进行中状态，以防...,评估报告生成模块承担对整场模拟面试过程进行总结与反馈的作用，是系统实现闭环中的最后一环。当用户在前端点击“结束面试”后，后端校验目标会话是否属于当前用户且仍处于进行中状态，以防止重...,body
第四章 系统实现,4.6 评估报告生成模块实现,135,,从实现效果看，该模块将原本分散在多轮交互中的内容重新压缩为可复盘、可阅读的结果摘要，使模拟面试不再停留于即时问答，而能够真正形成训练闭环。其局限在于，报告质量仍然依赖外部大语言模型...,从实现效果看，该模块将原本分散在多轮交互中的内容重新压缩为可复盘、可阅读的结果摘要，使模拟面试不再停留于即时问答，而能够形成训练闭环。其局限在于，报告质量仍然依赖外部大语言模型的稳...,body
第四章 系统实现,4.7 本章小结,139,,为便于后续终稿整理和答辩追问，本章已同步整理三组核心实现证据。第一组为流式问答推送实现，主要对应 InterviewServiceImpl.chat、streamAssistant...,为便于后续终稿整理和答辩追问，本章已同步整理三组核心实现证据：流式问答推送实现主要对应 InterviewServiceImpl.chat、streamAssistantReply...,body
第四章 系统实现,4.7 本章小结,139,,本章从实现层面对系统的主要模块进行了说明。首先，系统通过统一异常处理、JWT 鉴权、跨域与线程池配置搭建基础设施；其次，借助 PDF 文本提取与大语言模型结构化分析实现简历解析；再...,本章从实现层面对系统主要模块进行了说明。系统通过统一异常处理、JWT 鉴权、跨域、线程池配置和用户级模型配置管理搭建基础设施；借助 PDF 文本提取、大语言模型结构化分析和输入长度...,body
第五章 系统测试,5.1 测试目的与测试思路,144,,系统测试的目的在于验证本系统在既定业务场景下的功能完整性、交互稳定性与基本可用性，并为后续论文结论与系统评价提供依据。由于本系统核心能力依赖外部大语言模型服务，模型生成内容本身具有...,系统测试的目的在于验证本系统在既定业务场景下的功能完整性、交互稳定性与基本可用性，并为后续论文结论与系统评价提供依据。由于本系统核心能力依赖外部大语言模型服务，模型生成内容本身具有...,body
